adopter;adoptee
parent who gives person into adoption;adopter
parent who gives person into adoption;adoptee
apprentice giver;apprentice
apprentice giver;trainer of a profession
trainer of a profession;apprentice
obligee;obligor
judge;litigant
plaintiff;defendant
judge;plaintiff
judge;defendant
litigant;plaintiff
litigant;defendant
person who deposits object;person to whom object is deposited
testator;heir
donor;donee
lessor;lessee
creditor;debtor
manumitter;manumitted slave
bride;groom
bride;bride’s agent
groom;groom’s agent
groom;bride’s agent
bride;groom’s agent
bride’s agent;groom’s agent
person to whom oath is sworn;oath taker
business partner, investing;business partner, acting
business partner, investing;business partner
business partner, acting;business partner
prebend-giver;prebend-performer
prebend-holder;prebend-giver
prebend-holder;prebend-performer
seller;buyer
payer;recipient
summoner;person to be summoned
testifier;summoner
testifier;person to be summoned
employer;employee
sender of a letter order;recipient of a letter order
sender;addressee
sender;mentioned in letter
addressee;mentioned in letter
